k,t,a,b,c,mu_A1,mu_A2,mu_A
0,0.0,0.0,6.0,1.0,1.075,7.625,8.7
1,0.05,0.0,6.0,1.2,1.308,7.3919999999999995,8.7
2,0.1,0.0,6.0,1.4,1.547,7.153,8.7
3,0.15000000000000002,0.0,6.0,1.6,1.792,6.9079999999999995,8.7
4,0.2,0.0,6.0,1.8,2.043,6.657,8.7
5,0.25,0.0,6.0,2.0,2.3,6.4,8.7
6,0.30000000000000004,0.0,6.0,2.2,2.563,6.137,8.7
7,0.35000000000000003,0.0,6.0,2.4000000000000004,2.8320000000000003,5.867999999999999,8.7
8,0.4,0.0,6.0,2.6,3.107,5.593,8.7
9,0.45,0.0,6.0,2.8,3.388,5.312,8.7
10,0.5,0.0,6.0,3.0,3.675,5.025,8.7
11,0.55,0.0,6.0,3.2,3.9680000000000004,4.731999999999999,8.7
12,0.6000000000000001,0.0,6.0,3.4000000000000004,4.267,4.433,8.7
13,0.65,0.0,6.0,3.6,4.572,4.128,8.7
14,0.7000000000000001,0.0,6.0,3.8000000000000003,4.883,3.8169999999999993,8.7
15,0.75,0.0,6.0,4.0,5.2,3.5,8.7
16,0.8,0.0,6.0,4.2,5.523,3.1769999999999996,8.7
17,0.8500000000000001,0.0,6.0,4.4,5.852,2.8479999999999994,8.7
18,0.9,0.0,6.0,4.6,6.186999999999999,2.513000000000001,8.7
19,0.9500000000000001,0.0,6.0,4.800000000000001,6.528000000000001,2.171999999999999,8.7
20,1.0,0.0,6.0,5.0,6.875,1.825,8.7
