k,t,a2,b2,s,b_lo,b_hi,ov_lo,ov_hi,has_overlap,mu_A,mu_B,mu_AB,rho
0,0.0,5.0,11.0,-1.0,-1.0,5.0,0.0,0.0,0,13.2,7.8,0.0,0.0
1,0.05,5.0,11.0,-0.4,-0.4,5.6,5.0,5.6,1,13.2,8.34,1.0769999999999993,0.10264687032208797
2,0.1,5.0,11.0,0.19999999999999996,0.19999999999999996,6.2,5.0,6.2,1,13.2,8.88,2.208,0.20394150531987745
3,0.15000000000000002,5.0,11.0,0.7999999999999998,0.7999999999999998,6.8,5.0,6.8,1,13.2,9.42,3.3929999999999993,0.3042786233079812
4,0.2,5.0,11.0,1.4,1.4,7.4,5.0,7.4,1,13.2,9.96,4.632000000000001,0.4039726059704906
5,0.25,5.0,11.0,2.0,2.0,8.0,5.0,8.0,1,13.2,10.5,5.925,0.5032766015446553
6,0.30000000000000004,5.0,11.0,2.5999999999999996,2.5999999999999996,8.6,5.0,8.6,1,13.2,11.04,7.2719999999999985,0.6023964001593146
7,0.35000000000000003,5.0,11.0,3.2,3.2,9.2,5.0,9.2,1,13.2,11.579999999999998,8.672999999999998,0.7015006876620941
8,0.4,5.0,11.0,3.8,3.8,9.8,5.0,9.8,1,13.2,12.120000000000003,10.128000000000002,0.8007287409926442
9,0.45,5.0,11.0,4.3999999999999995,4.3999999999999995,10.399999999999999,5.0,10.399999999999999,1,13.2,12.659999999999997,11.636999999999997,0.9001962840676487
10,0.5,5.0,11.0,5.0,5.0,11.0,5.0,11.0,1,13.2,13.2,13.2,1.0
11,0.55,5.0,11.0,5.6,5.6,11.6,5.6,11.0,1,13.2,13.74,12.123000000000001,0.9001808571755169
12,0.6000000000000001,5.0,11.0,6.199999999999999,6.199999999999999,12.2,6.199999999999999,11.0,1,13.2,14.279999999999998,10.992,0.8006185538412003
13,0.65,5.0,11.0,6.8,6.8,12.8,6.8,11.0,1,13.2,14.820000000000004,9.807,0.7011728764363191
14,0.7000000000000001,5.0,11.0,7.4,7.4,13.4,7.4,11.0,1,13.2,15.36,8.567999999999998,0.6017233772484434
15,0.75,5.0,11.0,8.0,8.0,14.0,8.0,11.0,1,13.2,15.9,7.2749999999999995,0.5021661909785654
16,0.8,5.0,11.0,8.6,8.6,14.6,8.6,11.0,1,13.2,16.439999999999998,5.928000000000001,0.4024114438474008
17,0.8500000000000001,5.0,11.0,9.2,9.2,15.2,9.2,11.0,1,13.2,16.98,4.527000000000001,0.3023811301915521
18,0.9,5.0,11.0,9.799999999999999,9.799999999999999,15.799999999999999,9.799999999999999,11.0,1,13.2,17.519999999999996,3.0720000000000027,0.20200736087595872
19,0.9500000000000001,5.0,11.0,10.4,10.4,16.4,10.4,11.0,1,13.2,18.059999999999995,1.5629999999999988,0.10123090965891533
20,1.0,5.0,11.0,11.0,11.0,17.0,0.0,0.0,0,13.2,18.6,0.0,0.0
