key,value
id,modes-of-convergence-of-stochastic-sequences
title,Modes of convergence of stochastic sequences
summary,"Three classic examples, side by side: a.s. convergence (SLLN), convergence in probability but not a.s. (the typewriter sequence), and convergence in distribution (CLT)."
courses,MathFin
topics,modes of convergence|almost sure convergence|convergence in probability|convergence in distribution|strong law of large numbers|central limit theorem|typewriter sequence
source,"MathFin lecture notes, ch. on convergence concepts for stochastic processes"
seed,22774
params.n_paths,6
params.n_steps_as,500
params.n_faint_paths,60
params.n_blocks_k,8
params.u_point,0.37
params.n_values,"[2, 4, 8, 16, 32, 64, 128, 256, 512, 1024]"
params.n_replications,20000
params.n_bins,50
params.n_frames,32
formats,html|png|mp4
fps,10
created,2026-08-29
