n,hi_0,hi_1,hi_2,hi_3,hi_4,hi_5,faint_0,faint_1,faint_2,faint_3,faint_4,faint_5,faint_6,faint_7,faint_8,faint_9,faint_10,faint_11,faint_12,faint_13,faint_14,faint_15,faint_16,faint_17,faint_18,faint_19,faint_20,faint_21,faint_22,faint_23,faint_24,faint_25,faint_26,faint_27,faint_28,faint_29,faint_30,faint_31,faint_32,faint_33,faint_34,faint_35,faint_36,faint_37,faint_38,faint_39,faint_40,faint_41,faint_42,faint_43,faint_44,faint_45,faint_46,faint_47,faint_48,faint_49,faint_50,faint_51,faint_52,faint_53,faint_54,faint_55,faint_56,faint_57,faint_58,faint_59
1,0.014474181184721213,0.7346205138636493,0.023657581054483345,0.3194279191890126,0.15087056711697444,0.005157715355638581,0.8268200184386215,0.09698642735341834,0.21444454350358466,0.5266815460056372,0.2448689104733679,0.48645927154310176,0.8082709343593057,0.6903414807285279,0.20211170056184757,0.6412085999933839,0.18848072253557402,0.6676889479179203,0.6234198021892112,0.0008910150090261082,0.6696875322777518,0.6577335884708578,0.8630150896809479,0.47536185007857523,0.2180544362436423,0.8951605710368653,0.6356388966749456,0.7712828179281296,0.06012862541835706,0.48814905707057565,0.834987280565416,0.8800176721793842,0.4994992720849417,0.6920392493404502,0.21463072836362007,0.44231729015227006,0.3340086099820966,0.2613892739629119,0.25822815519822395,0.526295313451059,0.42829041520971955,0.8191182059337572,0.7252490356267395,0.49748435244158573,0.5047976460141566,0.08491644483283345,0.8829893771761195,0.7497445531419352,0.5567610627134585,0.6423547185387406,0.788227199418749,0.16349793169077265,0.29856783075937854,0.07217710983615,0.35133552661829925,0.7407324598651982,0.224167500635296,0.052602667987038054,0.26967736447763024,0.42719850633942336,0.1970577991155349,0.9329271864196969,0.28956546925624027,0.032551879546882434,0.47584507520558805,0.35690333509806615
2,0.3068969579229801,0.7026187423640426,0.2773715513416231,0.4884726548717549,0.46641219254382127,0.44117374336421555,0.42271559709669887,0.42899925929988464,0.35777099789186784,0.5295278863270432,0.2957964781495256,0.7027803305045698,0.7256501210223609,0.7589481680631995,0.24251775752379412,0.6476641070840867,0.4335470284425531,0.6165519119310929,0.7876594682692591,0.4257668740544145,0.485255029815259,0.3608017849933315,0.6450330849651091,0.33807876070360143,0.2596012251416297,0.8651438200363492,0.34726834329042366,0.5844422189491021,0.3030679522364241,0.713868332400097,0.4759488484401997,0.48246876832826935,0.6665038803757801,0.5002923233670102,0.5374440025658646,0.37258625657300526,0.28474221172880043,0.5924030897789649,0.13175124997053256,0.6459460785627221,0.5972777489190582,0.5770693132342837,0.3632997457422143,0.3813832054936354,0.7395089990459245,0.27746977773278036,0.7706816022268173,0.7806115793537366,0.5175411460881094,0.6378101795847786,0.4167574901754695,0.3927747226014076,0.49993269880307,0.39780775940308816,0.29989384858105356,0.6320698196415679,0.56835584306773,0.29777553777550964,0.15622482465748588,0.6045073206057028,0.4694300156620319,0.9421032701646814,0.5724664201624796,0.09652131961873212,0.31940286591044187,0.44294751455758413
3,0.30748593564372845,0.7781721069853734,0.46142859393403607,0.48729936536351603,0.40279161629249316,0.5838253510655249,0.5777511848617586,0.3000296135990615,0.3720123110199243,0.4549455462491194,0.3156446018971633,0.6275243082922534,0.5702467006804905,0.506063509991643,0.45400451601724834,0.6345228033764799,0.41097148486098845,0.5618809570232696,0.7119442983628236,0.5826657398836469,0.39380991498495427,0.33652078942998626,0.5932000457157912,0.43870487656100265,0.3088022589580907,0.61321988392293,0.2646400425219843,0.5910374561128219,0.33521292092055743,0.5795869257483127,0.360930860247942,0.40494426619222845,0.6120171018172409,0.36273871442507266,0.4388888272991234,0.4464039722002912,0.2609522726740108,0.5092417012279281,0.2516095009047414,0.696580408047434,0.4044004982529979,0.5866083402980372,0.2977413622256706,0.29211082479786665,0.6581686744989965,0.5054024415212526,0.7420605256293445,0.7211787612616462,0.3954286239859279,0.5569083283000107,0.5969407209281599,0.2682025913713601,0.5663073798542954,0.5610033083685927,0.35662197285281044,0.7032345727233157,0.5350586584099202,0.40095243924218926,0.32221480314046874,0.4945248454076216,0.3591846697151411,0.8264007839267795,0.5379046687622964,0.33557440204140465,0.454492287954088,0.3042369475054418
4,0.3643185362429666,0.7299237132756401,0.5130654098246327,0.3923613854063125,0.45643587745385605,0.4967849060331686,0.6715106180571505,0.35026748239535277,0.27989094704619605,0.35321421982721135,0.45912557072937266,0.5593771058363,0.6384562796571167,0.5692309311716606,0.5244055299273956,0.6597734475360458,0.5186420621797424,0.5324150462531637,0.6798184782542249,0.5153385454188161,0.47188975822063584,0.2558038012580458,0.6247690218561333,0.3970154970191391,0.45086670578776533,0.6593829418716932,0.3713288056692065,0.526513478748931,0.3955238259367337,0.6812586520756135,0.2739507531339751,0.3734858451636064,0.5985599643560691,0.4020228694819524,0.5704898968827852,0.4428108439140639,0.40477258020075524,0.4831681499929451,0.2401903208163764,0.7528825155185555,0.30788135689399243,0.4460477905325926,0.2694341550834635,0.249298898410526,0.5016267817666544,0.5739132308384338,0.6509877052276435,0.6659860011327936,0.392409820808311,0.43875083232446865,0.6173835152071105,0.24576699642954278,0.48162558122122434,0.523882113677143,0.26972390069772845,0.6459257076607122,0.6108795437657103,0.4618953213514956,0.29641224208154604,0.579731353178297,0.39275479917136624,0.7706469427111752,0.637540518094938,0.26613672700235824,0.5297976529411333,0.4001408374420107
5,0.3143466955262034,0.6271751804210267,0.4929400202265687,0.3869675588055525,0.43955455297920165,0.5249081058617173,0.6759110300995242,0.3181788007824683,0.2715890748902946,0.3810701326646029,0.5154622416358436,0.5061068276430047,0.5501510361977202,0.46872081086138095,0.45324614040682254,0.7108776997109033,0.5993763927710776,0.5388199785974199,0.627591609522411,0.5799889609188825,0.41765005307895076,0.389623473401339,0.5260580381765857,0.4154326540082517,0.43256785188409586,0.7000688100812122,0.37556229796878454,0.513740605756245,0.43908994120881495,0.5543333670229649,0.3615672406594595,0.2994386463317802,0.6715523416970338,0.45182395318017915,0.5845197093554562,0.45971652995123335,0.4229324946811036,0.5664239622863952,0.339267864433336,0.688464881860998,0.33280289234426275,0.42853998503825,0.3406573209730423,0.24951026477235488,0.4826200607286248,0.47819487335694666,0.5487555219794386,0.6190451934164087,0.4280202083565204,0.45202201696302824,0.6301685510432329,0.3635364560400661,0.4795666353199032,0.6036540297446147,0.29209709424023184,0.5399290044697524,0.5111715532713434,0.4535994481112156,0.2522521797275118,0.5012376162839509,0.3595541502639567,0.6233146776775506,0.6290429296492641,0.39826179375951315,0.5102343451668947,0.3389935068068576
6,0.3638717679272547,0.6220116194998219,0.4376641744235307,0.39688359594106776,0.3890083579026784,0.4806986521682968,0.6395018458979925,0.3046269304105778,0.2522495914161484,0.3673748065378815,0.49428280557857485,0.5233326024723344,0.5760896099193055,0.4076718425064831,0.3960867737876262,0.6101265329360793,0.6290792988423772,0.4730000043918588,0.6219579790978256,0.507684559107195,0.3793237021999984,0.36696369505597953,0.4856369697636529,0.4077919997508172,0.4598703417488614,0.6385031817668545,0.3217287782347597,0.5013403572120448,0.4959349921767735,0.5170448778415967,0.4471192741858543,0.2795846828847239,0.5698062128606294,0.4825244916070424,0.539060647086164,0.43383681549054587,0.3611706156663548,0.5841966445371889,0.37039533287585485,0.6696179425689771,0.3550395975545699,0.4136877647319605,0.3584699726468745,0.3079902415875395,0.4980888753881443,0.456773747554626,0.5853894041839288,0.6391729988057906,0.5100279079410691,0.4717600480809512,0.6574126744106777,0.44611940063218997,0.463928322598292,0.5885702695992568,0.29690981394553423,0.5851355369930257,0.4369009609933295,0.43264237249519577,0.21591879454387056,0.533641486698832,0.4041248728479571,0.5513998458378403,0.683912291121299,0.48384113373676474,0.4673996713629844,0.40334313231451896
7,0.39400468428763397,0.6242401444782734,0.5029768867712484,0.37336289854143173,0.4441842405746047,0.4448178460561745,0.6881022174858444,0.2884508824654964,0.26392908472962834,0.3518573696535257,0.49961006719471607,0.5852886149452842,0.5395547483747224,0.39912853657879693,0.4483597786835905,0.568807944150562,0.5404980486366687,0.43227637132480556,0.6228083284326252,0.4445280773908354,0.4100972639278843,0.44554955322618817,0.4236711069569741,0.4102454148891993,0.42037230793096053,0.6114891120816693,0.41020283862863377,0.5098962641579028,0.4563440836810327,0.513482974927717,0.49267672518235495,0.36091135201307095,0.524285693241218,0.42948959167323275,0.5857132107494601,0.4505592738284365,0.4254208954044973,0.5022498646434743,0.44998662261298333,0.6570234432957444,0.3094906887357371,0.3600338209945858,0.3654179602229234,0.35782847734548906,0.45676386455700024,0.41426099300096136,0.5225728719077829,0.5974142949607322,0.5431499050916722,0.45577754693070416,0.6712337379947134,0.42289681861641754,0.43029377099692095,0.5377603748073057,0.341746880725652,0.5809713975104288,0.416702105024132,0.4778876675189763,0.29006527933224063,0.5427292301210173,0.3849376944978334,0.4969268861849442,0.6233932741836077,0.43328049724354173,0.4926269464746559,0.4491729809012729
8,0.43298059138808154,0.5628198909251284,0.5402519216818654,0.3968756766018001,0.4396465481140847,0.4584610653657324,0.6866806615619726,0.2605048200559354,0.23565948857951574,0.40830217894497245,0.5208936139253454,0.5812324019617123,0.4764190365949092,0.4417863032108784,0.4147715298845732,0.5884807131323094,0.5974001237065679,0.45809089021636656,0.6581314296161467,0.4649268153037154,0.3628962433894411,0.43075569681959897,0.400045060184443,0.4660502774969425,0.45634664548752923,0.6533209587301692,0.42564204721258725,0.46149540739824496,0.4989755695037294,0.46548714346298903,0.48159525910679035,0.3658811485980201,0.48019032981317544,0.42052282215006725,0.5475765034525958,0.4118047994413935,0.3759627795371542,0.5416688099124778,0.5095467561699192,0.6047509538988863,0.3284445213141049,0.3806719721584928,0.3593969901534496,0.41525813996610084,0.4486454357579032,0.40263227870109836,0.5250887414855029,0.5501992218240037,0.514191122770583,0.45242633882735306,0.6587693517386232,0.4867795667409133,0.3906021640304037,0.5670264970162049,0.4118949101139635,0.5967481941436361,0.466932628834983,0.4276774305310704,0.3491660002620094,0.5474485384790703,0.4064712854688127,0.4612254436064111,0.6366284103014256,0.47662925729371436,0.549535934313121,0.4039663883546555
9,0.4893570760116294,0.5561839488709907,0.5611145778425035,0.3838065895024223,0.4559213417807487,0.4823385356336417,0.6629776491100956,0.2549892299059217,0.3157530174400267,0.4288920945415946,0.5099676269137363,0.5911005366016959,0.5201739078015114,0.4290007315008223,0.46338210180045497,0.5619494805084936,0.545304165920473,0.49839910941087584,0.6028756067429506,0.4630242980506413,0.3301361887651712,0.45573795336867007,0.4530723083446031,0.4450550263305324,0.44442247467422485,0.6375120895662499,0.4254994542145616,0.49626007796439897,0.5285172193335061,0.45713149809700987,0.46170804543669974,0.33413552832093657,0.4996885761078058,0.40251765802410205,0.5499294143125224,0.38471010294849933,0.4368770890205336,0.5552757285973379,0.5289956365971743,0.6241258685194754,0.319987730751205,0.3847160908438367,0.36252328220515384,0.4193219037329329,0.5055527752403721,0.3752268020655105,0.5171175608842471,0.5271515145638173,0.5516512310046272,0.4662625520495255,0.6700239544605937,0.44982878276818816,0.4573358840660944,0.554602429553244,0.3911668278367146,0.6086571295211775,0.4584830944895166,0.45578983614400326,0.38348457381072343,0.502749837272489,0.4393429852872699,0.5142299351748083,0.6670076431196938,0.519157140473509,0.5215494591507145,0.437436802281107
10,0.45112119273007567,0.5142278660015083,0.5632096731619304,0.34992239295440636,0.4744823565462095,0.45407731672544094,0.634838304600115,0.28827068127336075,0.36358717139092966,0.4631468380302978,0.4954544171311414,0.5920626185290302,0.561180507305409,0.40864313735309016,0.4436048998020343,0.544185382208722,0.570458303371103,0.5434213915241571,0.5961331359823276,0.43976147185484377,0.38319757874732396,0.4194394063309613,0.44811843860432854,0.46167949702381056,0.46778153378226184,0.6246981835662104,0.4319466924234262,0.4522381673546664,0.5172215447861038,0.46468561084269505,0.4293134144395306,0.3990616791773042,0.5258623000267972,0.39418300755938757,0.5087862361521232,0.4362697172923813,0.48922423014585686,0.5877749390359134,0.5628814754409949,0.6438997535984993,0.37759013977607897,0.3604284135913524,0.367181626571703,0.44854382001331816,0.545861441596823,0.39165495603701045,0.5251202089864874,0.5609112643662512,0.5727667147473234,0.4454223444501104,0.6620218083294106,0.5003959868045835,0.43954931053270785,0.5345262438694214,0.43656543188265545,0.5644456045813528,0.43731957404761423,0.49889796871531605,0.4246379209554769,0.5241793333429834,0.4014498172365063,0.4888914821192323,0.686613576298021,0.5455407909500957,0.5447675259498593,0.4345726337724991
