n,z,density
2,-3.92,0.0
2,-3.76,0.0
2,-3.6,0.0
2,-3.44,0.0
2,-3.2800000000000002,0.0
2,-3.12,0.0
2,-2.96,0.0
2,-2.8,0.0
2,-2.6399999999999997,0.0
2,-2.48,0.001249999999999999
2,-2.3200000000000003,0.02124999999999998
2,-2.16,0.04937499999999996
2,-2.0,0.07374999999999994
2,-1.8399999999999999,0.10312499999999991
2,-1.68,0.1231249999999999
2,-1.52,0.15281249999999988
2,-1.3599999999999999,0.17812499999999984
2,-1.2,0.20874999999999982
2,-1.04,0.2296874999999998
2,-0.8799999999999999,0.27374999999999977
2,-0.72,0.28687499999999977
2,-0.56,0.31968749999999974
2,-0.3999999999999999,0.3431249999999997
2,-0.24,0.3631249999999997
2,-0.08000000000000007,0.40906249999999966
2,0.08000000000000007,0.39406249999999965
2,0.2400000000000002,0.3740624999999997
2,0.40000000000000036,0.3446874999999997
2,0.56,0.3181249999999997
2,0.7199999999999998,0.27156249999999976
2,0.8799999999999999,0.2599999999999998
2,1.04,0.2390624999999998
2,1.2000000000000002,0.19312499999999982
2,1.3600000000000003,0.18343749999999984
2,1.5200000000000005,0.16562499999999986
2,1.6800000000000002,0.12812499999999988
2,1.8399999999999999,0.09749999999999992
2,2.0,0.07718749999999994
2,2.16,0.04156249999999997
2,2.3200000000000003,0.02374999999999998
2,2.4800000000000004,0.001249999999999999
2,2.64,0.0
2,2.8,0.0
2,2.96,0.0
2,3.12,0.0
2,3.2800000000000002,0.0
2,3.4400000000000004,0.0
2,3.6,0.0
2,3.76,0.0
2,3.92,0.0
4,-3.92,0.0
4,-3.76,0.0
4,-3.6,0.0
4,-3.44,0.0
4,-3.2800000000000002,0.0
4,-3.12,0.001249999999999999
4,-2.96,0.002499999999999998
4,-2.8,0.007499999999999994
4,-2.6399999999999997,0.008749999999999992
4,-2.48,0.018437499999999985
4,-2.3200000000000003,0.029687499999999974
4,-2.16,0.045312499999999964
4,-2.0,0.05656249999999995
4,-1.8399999999999999,0.08281249999999993
4,-1.68,0.1053124999999999
4,-1.52,0.1340624999999999
4,-1.3599999999999999,0.16999999999999985
4,-1.2,0.19812499999999983
4,-1.04,0.2462499999999998
4,-0.8799999999999999,0.2568749999999998
4,-0.72,0.29499999999999976
4,-0.56,0.3403124999999997
4,-0.3999999999999999,0.3518749999999997
4,-0.24,0.3687499999999997
4,-0.08000000000000007,0.3709374999999997
4,0.08000000000000007,0.39718749999999964
4,0.2400000000000002,0.3649999999999997
4,0.40000000000000036,0.3637499999999997
4,0.56,0.3256249999999997
4,0.7199999999999998,0.31187499999999974
4,0.8799999999999999,0.2684374999999998
4,1.04,0.2481249999999998
4,1.2000000000000002,0.20343749999999983
4,1.3600000000000003,0.18562499999999985
4,1.5200000000000005,0.14656249999999987
4,1.6800000000000002,0.10374999999999991
4,1.8399999999999999,0.07656249999999994
4,2.0,0.05499999999999995
4,2.16,0.04124999999999997
4,2.3200000000000003,0.03156249999999997
4,2.4800000000000004,0.016562499999999987
4,2.64,0.011249999999999991
4,2.8,0.0056249999999999955
4,2.96,0.0018749999999999984
4,3.12,0.0006249999999999995
