n,k,j,lo,hi,hit,mid,half_width,p_hit
1,0,0,0.0,1.0,1,0.5,0.5,1.0
2,1,0,0.0,0.5,1,0.25,0.25,0.5
3,1,1,0.5,1.0,0,0.75,0.25,0.5
4,2,0,0.0,0.25,0,0.125,0.125,0.25
5,2,1,0.25,0.5,1,0.375,0.125,0.25
6,2,2,0.5,0.75,0,0.625,0.125,0.25
7,2,3,0.75,1.0,0,0.875,0.125,0.25
8,3,0,0.0,0.125,0,0.0625,0.0625,0.125
9,3,1,0.125,0.25,0,0.1875,0.0625,0.125
10,3,2,0.25,0.375,1,0.3125,0.0625,0.125
11,3,3,0.375,0.5,0,0.4375,0.0625,0.125
12,3,4,0.5,0.625,0,0.5625,0.0625,0.125
13,3,5,0.625,0.75,0,0.6875,0.0625,0.125
14,3,6,0.75,0.875,0,0.8125,0.0625,0.125
15,3,7,0.875,1.0,0,0.9375,0.0625,0.125
16,4,0,0.0,0.0625,0,0.03125,0.03125,0.0625
17,4,1,0.0625,0.125,0,0.09375,0.03125,0.0625
18,4,2,0.125,0.1875,0,0.15625,0.03125,0.0625
19,4,3,0.1875,0.25,0,0.21875,0.03125,0.0625
20,4,4,0.25,0.3125,0,0.28125,0.03125,0.0625
21,4,5,0.3125,0.375,1,0.34375,0.03125,0.0625
22,4,6,0.375,0.4375,0,0.40625,0.03125,0.0625
23,4,7,0.4375,0.5,0,0.46875,0.03125,0.0625
24,4,8,0.5,0.5625,0,0.53125,0.03125,0.0625
25,4,9,0.5625,0.625,0,0.59375,0.03125,0.0625
26,4,10,0.625,0.6875,0,0.65625,0.03125,0.0625
27,4,11,0.6875,0.75,0,0.71875,0.03125,0.0625
28,4,12,0.75,0.8125,0,0.78125,0.03125,0.0625
29,4,13,0.8125,0.875,0,0.84375,0.03125,0.0625
30,4,14,0.875,0.9375,0,0.90625,0.03125,0.0625
31,4,15,0.9375,1.0,0,0.96875,0.03125,0.0625
32,5,0,0.0,0.03125,0,0.015625,0.015625,0.03125
33,5,1,0.03125,0.0625,0,0.046875,0.015625,0.03125
34,5,2,0.0625,0.09375,0,0.078125,0.015625,0.03125
35,5,3,0.09375,0.125,0,0.109375,0.015625,0.03125
36,5,4,0.125,0.15625,0,0.140625,0.015625,0.03125
37,5,5,0.15625,0.1875,0,0.171875,0.015625,0.03125
38,5,6,0.1875,0.21875,0,0.203125,0.015625,0.03125
39,5,7,0.21875,0.25,0,0.234375,0.015625,0.03125
40,5,8,0.25,0.28125,0,0.265625,0.015625,0.03125
41,5,9,0.28125,0.3125,0,0.296875,0.015625,0.03125
42,5,10,0.3125,0.34375,0,0.328125,0.015625,0.03125
43,5,11,0.34375,0.375,1,0.359375,0.015625,0.03125
44,5,12,0.375,0.40625,0,0.390625,0.015625,0.03125
45,5,13,0.40625,0.4375,0,0.421875,0.015625,0.03125
46,5,14,0.4375,0.46875,0,0.453125,0.015625,0.03125
47,5,15,0.46875,0.5,0,0.484375,0.015625,0.03125
48,5,16,0.5,0.53125,0,0.515625,0.015625,0.03125
49,5,17,0.53125,0.5625,0,0.546875,0.015625,0.03125
50,5,18,0.5625,0.59375,0,0.578125,0.015625,0.03125
51,5,19,0.59375,0.625,0,0.609375,0.015625,0.03125
52,5,20,0.625,0.65625,0,0.640625,0.015625,0.03125
53,5,21,0.65625,0.6875,0,0.671875,0.015625,0.03125
54,5,22,0.6875,0.71875,0,0.703125,0.015625,0.03125
55,5,23,0.71875,0.75,0,0.734375,0.015625,0.03125
56,5,24,0.75,0.78125,0,0.765625,0.015625,0.03125
57,5,25,0.78125,0.8125,0,0.796875,0.015625,0.03125
58,5,26,0.8125,0.84375,0,0.828125,0.015625,0.03125
59,5,27,0.84375,0.875,0,0.859375,0.015625,0.03125
60,5,28,0.875,0.90625,0,0.890625,0.015625,0.03125
61,5,29,0.90625,0.9375,0,0.921875,0.015625,0.03125
62,5,30,0.9375,0.96875,0,0.953125,0.015625,0.03125
63,5,31,0.96875,1.0,0,0.984375,0.015625,0.03125
64,6,0,0.0,0.015625,0,0.0078125,0.0078125,0.015625
65,6,1,0.015625,0.03125,0,0.0234375,0.0078125,0.015625
66,6,2,0.03125,0.046875,0,0.0390625,0.0078125,0.015625
67,6,3,0.046875,0.0625,0,0.0546875,0.0078125,0.015625
68,6,4,0.0625,0.078125,0,0.0703125,0.0078125,0.015625
69,6,5,0.078125,0.09375,0,0.0859375,0.0078125,0.015625
70,6,6,0.09375,0.109375,0,0.1015625,0.0078125,0.015625
71,6,7,0.109375,0.125,0,0.1171875,0.0078125,0.015625
72,6,8,0.125,0.140625,0,0.1328125,0.0078125,0.015625
73,6,9,0.140625,0.15625,0,0.1484375,0.0078125,0.015625
74,6,10,0.15625,0.171875,0,0.1640625,0.0078125,0.015625
75,6,11,0.171875,0.1875,0,0.1796875,0.0078125,0.015625
76,6,12,0.1875,0.203125,0,0.1953125,0.0078125,0.015625
77,6,13,0.203125,0.21875,0,0.2109375,0.0078125,0.015625
